Country name,Regional indicator,year,Ladder score,worked hour,Total,Male,Female,GDP,GDP Growth (%)
Australia,North America and ANZ,2015,7.284,1670.0,72.09497,77.41175,66.83715,1350000000000.0,2.190169287
Australia,North America and ANZ,2016,7.313,1660.0,72.2739,77.30183,67.3148,1390000000000.0,2.759385972
Australia,North America and ANZ,2017,7.28399992,1662.0,72.9725,77.57391,68.43323,1420000000000.0,2.279591798
Australia,North America and ANZ,2018,7.272,1654.0,73.51529,78.01241,69.07372,1460000000000.0,2.878469715
Australia,North America and ANZ,2019,7.228,1651.0,74.21516,78.44482,70.03379,1490000000000.0,2.171545057
Australia,North America and ANZ,2020,7.222799778,1613.0,70.19225,74.39691,66.03652,1490000000000.0,-0.119590736
Australia,North America and ANZ,2021,7.183499813,1622.0,74.79523,78.2888,71.33744,1520000000000.0,2.111168148
Australia,North America and ANZ,2022,7.162099838,1628.0,76.81198,79.98673,73.66624,1590000000000.0,4.242385553
Australia,North America and ANZ,2023,7.094600201,1651.0,77.25185,80.27606,74.24795,1640000000000.0,3.4419922
Austria,Western Europe,2015,7.2,1495.0,71.15394,75.10204,67.22444,380000000000.0,1.303523098
Austria,Western Europe,2016,7.119,1507.0,71.67229,75.62922,67.69962,388000000000.0,2.117219671
Austria,Western Europe,2017,7.006000042,1498.0,72.01996,76.07654,67.96404,396000000000.0,2.27225012
Austria,Western Europe,2018,7.139,1502.0,73.0096,77.57896,68.45063,406000000000.0,2.484220867
Austria,Western Europe,2019,7.246,1510.0,73.39964,77.83533,68.98155,413000000000.0,1.754976456
Austria,Western Europe,2020,7.294199944,1400.0,73.19311,75.02739,65.33488,387000000000.0,-6.318255287
Austria,Western Europe,2021,7.267799854,1437.0,71.29043,76.0881,67.57533,406000000000.0,4.795329106
Austria,Western Europe,2022,7.163000107,1435.0,73.96259,78.42725,70.29944,427000000000.0,5.277894212
Austria,Western Europe,2023,7.097300053,1435.0,73.9595,78.16677,70.60551,423000000000.0,-0.954962367
Canada,North America and ANZ,2015,7.427,1710.0,72.66666,75.96667,69.36667,1560000000000.0,0.649970994
Canada,North America and ANZ,2016,7.404,1701.0,72.46667,75.63333,69.36667,1570000000000.0,1.038550935
Canada,North America and ANZ,2017,7.315999985,1689.0,73.56667,76.66666,70.4,1620000000000.0,3.033834903
Canada,North America and ANZ,2018,7.328,1702.0,74.13333,77.1,71.16666,1660000000000.0,2.742963431
Canada,North America and ANZ,2019,7.278,1691.0,74.66666,77.63333,71.63333,1700000000000.0,1.908431925
Canada,North America and ANZ,2020,7.23210001,1653.0,64.56667,68.16666,60.93333,1610000000000.0,-5.038233441
Canada,North America and ANZ,2021,7.103300095,1685.0,72.66666,75.83334,69.43333,1700000000000.0,5.286956891
Canada,North America and ANZ,2022,7.025100231,1686.0,75.8,78.5,73.0,1760000000000.0,3.819866339
Canada,North America and ANZ,2023,6.960700035,1685.0,76.03333,78.8,73.23333,1780000000000.0,1.248927304
Chile,Latin America and Caribbean,2015,6.67,1999.0,63.77236,74.66801,52.97435,242000000000.0,2.151942499
Chile,Latin America and Caribbean,2016,6.705,1983.0,63.56673,73.93233,53.27025,247000000000.0,1.753038746
Chile,Latin America and Caribbean,2017,6.65199995,1968.0,64.2691,73.90191,54.66735,250000000000.0,1.357695378
Chile,Latin America and Caribbean,2018,6.476,1961.0,63.75344,73.58086,53.94233,260000000000.0,3.990029475
Chile,Latin America and Caribbean,2019,6.444,1940.0,64.51172,73.60671,55.42865,262000000000.0,0.634367534
Chile,Latin America and Caribbean,2020,6.228499889,1828.0,56.45292,60.117,42.30817,246000000000.0,-6.143474792
Chile,Latin America and Caribbean,2021,6.171899796,1921.0,60.41885,66.47884,47.58231,273000000000.0,11.33395707
Chile,Latin America and Caribbean,2022,6.171800137,1966.0,62.0662,70.94618,53.13821,279000000000.0,2.058740081
Chile,Latin America and Caribbean,2023,6.333799839,1953.0,63.3109,71.22549,54.87064,280000000000.0,0.218780667
Costa Rica,Latin America and Caribbean,2015,7.226,2148.2,61.02555,74.37807,47.36682,56441920820.0,3.652080968
Costa Rica,Latin America and Caribbean,2016,7.087,2204.7,57.83308,71.68166,43.59833,58814921620.0,4.204323252
Costa Rica,Latin America and Caribbean,2017,7.078999996,2178.9,60.2851,74.57809,45.69953,61260269000.0,4.157698963
Costa Rica,Latin America and Caribbean,2018,7.072,2121.0,61.2893,74.84639,47.55658,62862779080.0,2.615904404
Costa Rica,Latin America and Caribbean,2019,7.167,2059.6,61.26518,74.03706,48.28783,64382494190.0,2.417511818
Costa Rica,Latin America and Caribbean,2020,7.121399879,1913.2,49.69787,63.13497,48.45531,61631202090.0,-4.273354322
Costa Rica,Latin America and Caribbean,2021,7.069399834,2073.3,55.59557,69.01929,42.39611,66522107760.0,7.935762247
Costa Rica,Latin America and Caribbean,2022,6.581999779,2149.0,60.02401,72.8473,46.10344,69549856030.0,4.55149178
Costa Rica,Latin America and Caribbean,2023,6.608500004,2170.5,59.30724,72.04623,45.64927,73105190300.0,5.111921832
Czechia,Central and Eastern Europe,2015,6.505,1751.0,70.33161,77.917,62.52236,189000000000.0,4.95875849
Czechia,Central and Eastern Europe,2016,6.596,1774.0,72.06246,79.46407,64.4304,194000000000.0,2.580870147
Czechia,Central and Eastern Europe,2017,6.609000206,1776.0,73.97821,81.14211,66.57561,204000000000.0,5.173565288
Czechia,Central and Eastern Europe,2018,6.711,1785.0,74.85415,81.70233,67.74923,210000000000.0,2.830305894
Czechia,Central and Eastern Europe,2019,6.852,1786.0,75.07317,81.8017,68.06722,217000000000.0,3.565776572
Czechia,Central and Eastern Europe,2020,6.910900116,1677.0,75.07014,81.18697,67.01408,206000000000.0,-5.304879546
Czechia,Central and Eastern Europe,2021,6.964700222,1722.0,73.96281,81.07517,66.3326,214000000000.0,4.029018306
Czechia,Central and Eastern Europe,2022,6.919799805,1774.0,75.40691,82.27009,68.28403,220000000000.0,2.847170657
Czechia,Central and Eastern Europe,2023,6.845200062,1766.0,74.86558,81.82698,68.40552,220000000000.0,-0.085330276
Denmark,Western Europe,2015,7.527,1407.0,72.27721,74.77542,68.56751,302000000000.0,2.104414587
Denmark,Western Europe,2016,7.526,1412.0,73.04344,75.05328,69.62012,311000000000.0,3.073045475
Denmark,Western Europe,2017,7.521999836,1404.0,73.75684,75.47256,70.58987,321000000000.0,3.056477244
Denmark,Western Europe,2018,7.555,1381.0,74.46851,76.26137,71.12881,327000000000.0,1.860007489
Denmark,Western Europe,2019,7.6,1371.0,75.25506,77.70578,72.05048,332000000000.0,1.711400944
Denmark,Western Europe,2020,7.645599842,1341.0,74.99429,77.26498,71.03608,326000000000.0,-1.780105988
Denmark,Western Europe,2021,7.61950016,1390.0,74.04363,78.35817,72.92966,350000000000.0,7.38206629
Denmark,Western Europe,2022,7.636199951,1394.0,76.39496,79.32178,74.69872,356000000000.0,1.540173107
