Country name,Regional indicator,year,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,worked hour
Australia,North America and ANZ,2020,7.222799778,7.30480814,7.140791416,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,1613
Australia,North America and ANZ,2021,7.183499813,7.264683723,7.102315903,1.453484535,1.075880408,0.800667107,0.647235394,0.291388631,0.31698212,2.597856522,1622
Australia,North America and ANZ,2022,7.162099838,7.243522167,7.080677509,1.899888515,1.20338428,0.772303641,0.676495969,0.257609159,0.341045797,2.011331558,1628
Australia,North America and ANZ,2023,7.094600201,7.17995739,7.009243011,1.898795009,1.496743441,0.531847596,0.676751196,0.242432088,0.310268074,1.93774271,1651
Austria,Western Europe,2020,7.294199944,7.359595776,7.228804111,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,1400
Austria,Western Europe,2021,7.267799854,7.337424278,7.19817543,1.492163777,1.062422514,0.781758428,0.639984071,0.215089977,0.292055875,2.784284592,1437
Austria,Western Europe,2022,7.163000107,7.236604691,7.089395523,1.931322575,1.165256619,0.773750186,0.622788727,0.193279475,0.329127043,2.147515297,1435
Austria,Western Europe,2023,7.097300053,7.176486015,7.01811409,1.926718116,1.381974697,0.534575164,0.62956059,0.190946832,0.309653074,2.123896122,1435
Canada,North America and ANZ,2020,7.23210001,7.311294556,7.152905464,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108,1653
Canada,North America and ANZ,2021,7.103300095,7.185441494,7.021158695,1.446679115,1.044359565,0.797508538,0.648485303,0.24622412,0.334586829,2.585432053,1685
Canada,North America and ANZ,2022,7.025100231,7.107068539,6.943131924,1.886453271,1.187762737,0.783143342,0.658886194,0.216965392,0.368206233,1.923638821,1686
Canada,North America and ANZ,2023,6.960700035,7.042358875,6.879041195,1.881438851,1.483918548,0.541386604,0.655816972,0.218279645,0.364492595,1.815376759,1685
